Image,Mean Error,Sag (pixels)
img_10.png,0.016698705913501383,16.612289524307926
img_11.png,0.003695216874330353,25.45112001905875
img_13.png,0.043717074867423926,24.687673677224666
img_15.png,0.047619224477976105,15.145885787438601
img_16.png,0.0378643090060291,37.047028539644884
img_17.png,0.05430235860095538,52.93404571867467
img_20.png,0.04758825131268465,29.830997194129225
img_21.png,0.037592190395484344,31.157698438001773
img_22.png,0.03565769342292235,21.984050459694117
img_23.png,0.03979039661915277,26.142860767489765
img_24.png,0.012303387166327584,386.580617545025
img_25.png,0.052134384154733336,40.75443924684072
img_26.png,0.042162670888439946,80.85882455910127
img_28.png,0.009329040479942567,42.32803871504757
img_29.png,0.03883301099005025,28.947899632712904
img_30.png,0.03577666280665112,12.535166051240878
img_31.png,0.014349756945351408,30.973177374654142
img_34.png,0.048446569390020844,14.723630168125965
img_37.png,0.03725659540839286,69.65051303770713
img_39.png,0.008668273211533737,37.977553020102334
img_41.png,0.03834000221942458,27.7780700008866
img_42.png,0.003976589281126743,7.0285069935569595
img_45.png,0.007131961325978553,71.14914227435236
img_47.png,0.04759350706531252,6.492472387384623
img_50.png,0.0013360159128493318,2.5035064324437144
img_52.png,0.05277663637165315,19.624879085284192
img_53.png,0.020453561414301668,386.7122343835639
img_54.png,0.005682109561551991,30.870917246523675
img_58.png,0.011223927623211087,99.46942502026906
img_59.png,0.0437347951819665,102.65501552810008
img_60.png,0.002719132328225743,4.7240011516419145
img_61.png,0.04279943965299023,24.525576833011655
img_62.png,0.049401676962807256,33.50099345413372
img_63.png,0.0031210990677369797,10.563034529099014
img_65.png,0.007354411190295849,20.818301055575432
img_66.png,0.0038219531560568956,31.628953725896963
img_69.png,0.013267024891372851,11.172995656171338
img_7.png,0.009676571566871964,41.85016654557063
img_70.png,0.013405007842167038,62.50271369887088
img_77.png,0.003577135667285233,5.6236494379234045
img_8.png,0.013821425165004307,22.790957495707232
img_81.png,0.044833416497873584,20.010795461003795
img_82.png,0.002478732266327078,5.379179438940355
img_84.png,0.029905577266467778,12.413772440399043
img_87.png,0.04789245317936833,7.548426379915327
img_88.png,0.042373401680704297,62.04040809426533
img_9.png,0.0028772824923216354,9.147713981335983
img_90.png,0.051963501303006206,35.706535172734505
img_91.png,0.009531504321064753,20.266289893518547
img_92.png,0.0045004270788322415,34.0372664563933
img_93.png,0.04049763781004832,58.08454923974196
img_94.png,0.001231628789338587,16.48299520733036
img_95.png,0.045488407700253704,28.017341292550498
img_96.png,0.014667534592898353,47.92614951935741
img_97.png,0.028242583568158182,78.25592979692644
img_99.png,0.01098656067478946,47.17704080840474
